,I,BIDS,BIDOFFERPERIOD,3,DUID,BIDTYPE,TRADINGDATE,OFFERDATETIME,DIRECTION,PERIODID,MAXAVAIL,FIXEDLOAD,RAMPUPRATE,RAMPDOWNRATE,ENABLEMENTMIN,ENABLEMENTMAX,LOWBREAKPOINT,HIGHBREAKPOINT,BANDAVAIL1,BANDAVAIL2,BANDAVAIL3,BANDAVAIL4,BANDAVAIL5,BANDAVAIL6,BANDAVAIL7,BANDAVAIL8,BANDAVAIL9,BANDAVAIL10,PASAAVAILABILITY,ENERGYLIMIT,PERIODIDTO,RECALL_PERIOD
0,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,1,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,1,
1,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,2,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,2,
2,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,3,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,3,
3,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,4,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,4,
4,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,5,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,5,
5,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,6,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,6,
6,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,7,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,7,
7,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,8,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,8,
8,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,9,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,9,
9,D,BIDS,BIDOFFERPERIOD,3,ADPBA1,ENERGY,2025/10/01 00:00:00,2025/09/24 04:05:40.000,GEN,10,6,,4,4,,,,,0,0,0,0,0,0,0,6,0,0,6,,10,
